Partition,Algorithm,BuildTime,TestTime,NUsers,NAttempted,NGood,Coverage,Predict.nDCG,TopN.nDCG,MAP,MRR
5,popular,0.228,0.671,,,,,,0.09875872854776302,0.14633438573205768,0.16696634462149942
5,svd,23.053,0.778,172,860,860,1.0,0.9726602702018204,0.040551240080336684,0.07159131929633175,0.07351917341895331
5,lucene,0.22,26.678,172,860,838,0.9744186046511628,0.9555152342514605,0.030852846255144502,0.04825368827879416,0.05161480832659267
5,svd-log,30.459,4.94,172,860,860,1.0,0.9549558636552539,0.10684268467504356,0.1570179261395253,0.19065610649701084
1,ii,15.628,61.204,173,865,865,1.0,0.9737331801502354,0.03985772880498295,0.04871379271440116,0.05215440730043711
1,svd,19.356,0.45,173,865,865,1.0,0.9748737503572122,0.054576353966895585,0.07535466651905158,0.08405348706078267
5,ii,13.892,64.078,172,860,860,1.0,0.9721694904006293,0.0331026338989145,0.04639626137403155,0.0470870053718891
1,svd-log,25.17,3.418,173,865,865,1.0,0.9568610511519007,0.12721814868896156,0.16212917853815267,0.19688648376724016
1,lucene,0.007,22.471,173,865,836,0.9664739884393063,0.9547750701119551,0.02815630384352783,0.035885448911356206,0.03634243902917597
1,popular,0.008,0.266,,,,,,0.12605689849144416,0.16967491572067395,0.18778614362983775
5,lucene-log,66.478,157.33,172,860,860,1.0,0.9577618998940878,0.10619229343714572,0.16722158477618593,0.20090124701210627
4,lucene-log,56.562000000000005,152.518,172,860,860,1.0,0.9539038648952984,0.10902435971017162,0.15948344236574954,0.18419583525840588
4,popular,0.008,0.228,,,,,,0.09386806749911826,0.13539182356754992,0.15649422247440067
5,lucene-svd-log,86.19,161.975,172,860,860,1.0,0.9573711318353098,0.10540643898253116,0.16615809154004263,0.20151954776869288
4,lucene,0.005,22.77,172,860,836,0.9720930232558139,0.9522226157928345,0.028724939304299837,0.03572679528214993,0.038368844090814404
4,svd-log,22.718,3.455,172,860,860,1.0,0.9519827237240353,0.1027078395908921,0.15304792055597155,0.17375228765663248
4,svd,19.332,0.439,172,860,860,1.0,0.9705209405459487,0.04338092310863832,0.07435255193283129,0.08836948979732837
4,lucene-svd-log,71.675,160.52,172,860,860,1.0,0.9548441163736032,0.10956912603784542,0.15872723197079042,0.18464895803093923
5,ii-log,92.857,246.11700000000002,172,860,860,1.0,0.9571394349335905,0.10349602051450145,0.16536339584922172,0.18621215236332922
4,ii,11.273,58.488,172,860,860,1.0,0.970419419859666,0.03279209747345742,0.04300450687433896,0.0484378082780576
5,ii-svd-log,112.95,252.118,172,860,860,1.0,0.9570635472071639,0.10112196940039177,0.16686748236377946,0.1839506455952435
3,popular,0.006,0.216,,,,,,0.12788327270860345,0.18549155530556585,0.21857375793840805
4,ii-svd-log,98.711,245.833,172,860,860,1.0,0.9536053117889804,0.09751057088000821,0.14038307332040523,0.16201213835365974
3,lucene,0.005,22.03,172,860,832,0.9674418604651163,0.9546886897005162,0.02875674488858547,0.03555756462040212,0.03735873663959739
3,svd-log,22.908,3.477,172,860,860,1.0,0.9598687429648358,0.12883011404468028,0.19847983982217132,0.22887948682255146
3,svd,19.184,0.447,172,860,860,1.0,0.9733087177723391,0.05155291178750777,0.08677170536182163,0.09086632682562915
1,ii-log,74.33500000000001,244.81,173,865,865,1.0,0.9575279537962206,0.13880573660173745,0.17974904854318213,0.21502039114420157
3,ii,11.42,57.493,172,860,860,1.0,0.9737069257244443,0.034751708856586655,0.05718287942138456,0.05971635369904488
3,lucene-log,52.809000000000005,150.01500000000001,172,860,860,1.0,0.9599339290234365,0.12219027277177634,0.18034225425251169,0.20760947774316782
4,ii-log,79.73100000000001,242.06900000000002,172,860,860,1.0,0.9534680581391911,0.1023326263241326,0.15067989330877232,0.17205169498504153
3,lucene-svd-log,72.06,154.502,172,860,860,1.0,0.9606032425431387,0.12350638083086993,0.18479531852791642,0.21225325528694922
2,popular,0.008,0.23,,,,,,0.106779145555226,0.15977068650822576,0.1818183253147173
2,lucene,0.005,22.668,173,865,840,0.9710982658959537,0.9541376125312245,0.01846535737791211,0.019942053168261274,0.020103615657041655
2,svd-log,22.653000000000002,3.69,173,865,865,1.0,0.951852489209936,0.11444917663203102,0.17280422024142247,0.19739768630232465
2,lucene-log,52.558,162.443,173,865,865,1.0,0.9529713184312203,0.11763636027411571,0.17382906130050577,0.1983621176046697
2,svd,19.193,0.456,173,865,865,1.0,0.9622175467220058,0.05068042631477055,0.08515789713775344,0.09695851387716652
3,ii-log,78.45,234.919,172,860,860,1.0,0.9603724265354149,0.12646821363568544,0.19221664780139164,0.21884082164605428
3,ii-svd-log,97.866,248.535,172,860,860,1.0,0.9600820407649717,0.127275397072586,0.19223934223912995,0.21723160533027866
2,ii,10.949,59.014,173,865,865,1.0,0.96084152184289,0.03874688904785597,0.059539137031618845,0.06438373671730373
1,lucene-svd-log,69.139,159.869,173,865,865,1.0,0.9570013091468246,0.13412865510147828,0.19520386070301582,0.22912541163995015
2,lucene-svd-log,71.07600000000001,156.50300000000001,173,865,865,1.0,0.9540252324711183,0.11707124302295445,0.176984157791857,0.20105870972108353
2,ii-svd-log,97.44200000000001,205.202,173,865,865,1.0,0.9526637200051841,0.1124451682117179,0.1762388550434966,0.20182910418481537
1,lucene-log,48.796,101.992,173,865,865,1.0,0.9552719040721088,0.13365611661887677,0.19577247256943364,0.22873431051252793
2,ii-log,77.08500000000001,180.815,173,865,865,1.0,0.9525536373576916,0.11596839324905672,0.180415732165283,0.20471062680000562
1,ii-svd-log,75.5,142.778,173,865,865,1.0,0.9565084530330822,0.13281896579627533,0.17461133842466342,0.20699667983678788
